,Unnamed: 0,text,label,Translated Text,Cleaned Text
0,0,Headache,non-suicide,Headache,headache
1,1,Sumakit kamay ko kakalaro ng osu,non-suicide,I hurt my hand playing osu,hurt hand playing osu
2,2,Napaka aaga ata,non-suicide,It's very early,very early
3,3,"Ganda masyado ni sato nozomi, maheart??",non-suicide,"Sato Nozomi is so beautiful, maheart??",sato nozomi beautiful maheart
4,4,Taena di ako kuntento need more chapters ng beginning after the end,non-suicide,"Taena, I'm not satisfied, I need more chapters of the beginning after the end",taena not satisfy need more chapter beginning after end
5,5,Gala na muna,possible suicidal post,Our gala,gala
6,6,Seeyousooon,possible suicidal post,Seeyousoon,seeyousoon
7,7,Tagal ng bukas,possible suicidal post,Duration of tomorrow,duration tomorrow
8,8,Kung wala na edi wala na,possible suicidal post,"If it's gone, it's gone",go go
9,9,Ahhyyss,possible suicidal post,Ahhyyss,ahhyyss
10,10,Laging nag crash pag naka viper ako amp,non-suicide,It always crashes when I turn on viper amp,always crash turn viper amp
11,11,Lucky day,non-suicide,Lucky day,lucky day
12,12,Di ko maitutulog na napansin ako ni shizu sa stream niya,non-suicide,I can't sleep that shizu noticed me on her stream,not sleep shizu notice stream
13,13,Palit profile hahahahaha,non-suicide,Change profile hahahaha,change profile hahahaha
14,14,Napaka panget ng gacha rate ng priconne ngayon,non-suicide,Priconne's gacha rate is so ugly right now,priconne gacha rate ugly right
15,15,Hindi dapat ganun,possible suicidal post,It shouldn't be like that,not like
16,16,Hindi na talaga,possible suicidal post,Not really anymore,not really anymore
17,17,Ayaaw na ngaaa!,possible suicidal post,I'm sorry!,sorry
18,18,Kakasawa,possible suicidal post,Bored,bore
19,19,Okay na guys,possible suicidal post,It's okay guys,okay guy
20,20,Iyak ako sa mugen train,non-suicide,I cried on the mugen train,cry mugen train
21,21,Ang tapang ng itsura amp HAHAHAHAHA,non-suicide,The courage of the appearance amp HAHAHAHAHA,courage appearance amp hahahahaha
22,22,Hindi ako sanay sa buhok ko amp,non-suicide,I'm not used to my hair amp,not use hair amp
23,23,Putaena di ako sanay sa normal na kulay ng buhok ko,non-suicide,"Putaena, I'm not used to my normal hair color",putaena not use normal hair color
24,24,Dreams inside dreams,non-suicide,Dreams inside dreams,dream inside dream
