,text,Translated Text,Cleaned Text,label
0,Headache,Headache,headache,Non-Suicide
1,Sumakit kamay ko kakalaro ng osu,I hurt my hand playing osu,hurt hand playing osu,Non-Suicide
2,Napaka aaga ata,It's very early,very early,Non-Suicide
3,"Ganda masyado ni sato nozomi, maheart??","Sato Nozomi is so beautiful, maheart??",sato nozomi beautiful maheart,Non-Suicide
4,Taena di ako kuntento need more chapters ng beginning after the end,"Taena, I'm not satisfied, I need more chapters of the beginning after the end",taena not satisfy need more chapter beginning after end,Non-Suicide
5,Gala na muna,Our gala,gala,Possible Suicidal Post
6,Seeyousooon,Seeyousoon,seeyousoon,Possible Suicidal Post
7,Tagal ng bukas,Duration of tomorrow,duration tomorrow,Possible Suicidal Post
8,Kung wala na edi wala na,"If it's gone, it's gone",go go,Possible Suicidal Post
9,Ahhyyss,Ahhyyss,ahhyyss,Possible Suicidal Post
10,Laging nag crash pag naka viper ako amp,It always crashes when I turn on viper amp,always crash turn viper amp,Non-Suicide
11,Lucky day,Lucky day,lucky day,Non-Suicide
12,Di ko maitutulog na napansin ako ni shizu sa stream niya,I can't sleep that shizu noticed me on her stream,not sleep shizu notice stream,Non-Suicide
13,Palit profile hahahahaha,Change profile hahahaha,change profile hahahaha,Non-Suicide
14,Napaka panget ng gacha rate ng priconne ngayon,Priconne's gacha rate is so ugly right now,priconne gacha rate ugly right,Non-Suicide
15,Hindi dapat ganun,It shouldn't be like that,not like,Possible Suicidal Post
16,Hindi na talaga,Not really anymore,not really anymore,Possible Suicidal Post
17,Ayaaw na ngaaa!,I'm sorry!,sorry,Possible Suicidal Post
18,Kakasawa,Bored,bore,Possible Suicidal Post
19,Okay na guys,It's okay guys,okay guy,Possible Suicidal Post
20,Iyak ako sa mugen train,I cried on the mugen train,cry mugen train,Non-Suicide
21,Ang tapang ng itsura amp HAHAHAHAHA,The courage of the appearance amp HAHAHAHAHA,courage appearance amp hahahahaha,Non-Suicide
22,Hindi ako sanay sa buhok ko amp,I'm not used to my hair amp,not use hair amp,Non-Suicide
23,Putaena di ako sanay sa normal na kulay ng buhok ko,"Putaena, I'm not used to my normal hair color",putaena not use normal hair color,Non-Suicide
24,Dreams inside dreams,Dreams inside dreams,dream inside dream,Non-Suicide
25,Kaya pa ba?,Is it still possible?,still possible,Possible Suicidal Post
26,Sakit na,It hurts,hurt,Possible Suicidal Post
27,Pag galit wag manakit,"When angry, don't hurt",angry not hurt,Possible Suicidal Post
28,Wala ngang kasama,There is no companion,no companion,Possible Suicidal Post
29,Bakit saakin pa,Why is it up to me?,why up,Possible Suicidal Post
30,Walang maisip na idrawing,Can't think of anything to draw,not think anything draw,Non-Suicide
31,Mas maayos ata pagkakagawa ko ngayon kaysa sa mga dati kong gawa ah,My work is better now than what I used to do,work well than what use,Non-Suicide
32,Sana hindi magkasakit kakatawa,I hope you don't get sick laughing,hope not get sick laughing,Non-Suicide
33,Ang sakit ng ulo ko,My head hurts,head hurt,Non-Suicide
34,Nalss ako sa oden song amp,I love oden song amp,love oden song amp,Non-Suicide
35,Im feeling lonely,Im feeling lonely,im feeling lonely,Possible Suicidal Post
36,Di na kaya alak to,I can't drink anymore,not drink anymore,Possible Suicidal Post
37,Ganun na nga kasi,That's how it is,how,Possible Suicidal Post
38,Kung pwede pa sana,If only it were possible,only possible,Possible Suicidal Post
39,Bilyar,Billiards,billiards,Possible Suicidal Post
40,"A daikon ganmo, chikuwa ni tamago??","A big fish, a chicken and a egg?",big fish chicken egg,Non-Suicide
41,Wala to di ako makakatulog agad HAHAHAHAHA,"Nothing, I can't sleep right away HAHAHAHAHA",nothing not sleep right away hahahahaha,Non-Suicide
42,Wala ako sa laro amp,I'm not in the game amp,not game amp,Non-Suicide
43,MoMa. Movie mag-isa,Mom. Movie alone,mom movie alone,Non-Suicide
44,4 na movie pa ng one piece,4 more movies of one piece,more movie one piece,Non-Suicide
45,Na hack pa fb ko badtrip,Badtrip even hacked my fb,badtrip even hack fb,Possible Suicidal Post
46,Lonely right now,Lonely right now,lonely right,Possible Suicidal Post
47,Bakit ako pa nasaktan,Why am I still hurt?,why still hurt,Possible Suicidal Post
48,Hard to accept the reality,Hard to accept the reality,hard accept reality,Possible Suicidal Post
49,I miss you,I miss you,miss,Possible Suicidal Post
50,Wow di pa din deretso tulog ko,"Wow, I haven't slept straight yet",wow not sleep straight yet,Non-Suicide
51,Hahahaha deja vu,Hahahaha already seen,hahahaha already see,Non-Suicide
52,Iniisip ko pa din kung magkakape ako o hindi,I'm still thinking about whether I should have coffee or not,still think whether coffee not,Non-Suicide
53,Di ako makapagdecide sa gagawin ko amp,I can't decide what to do amp,not decide what amp,Non-Suicide
54,Gusto kong sumaya,I want to have fun,want fun,Non-Suicide
55,ilang quiz ng mali mali sagot ,some quiz with wrong wrong answer,quiz wrong wrong answer,Possible Suicidal Post
56,nawawal na ako sa sarili ko,I lost myself,lose,Possible Suicidal Post
57,Topic na topic name ko sa mga gc HAHAHHAHAHA,My topic topic name in gc HAHAHHAHAHA,topic topic name gc hahahhahaha,Possible Suicidal Post
58,late nyo na nga ing process papers namin tapos tatawagin nyo pa akong Mr. ??? ,Our process papers are already late and you will call me Mr. ???,process paper already late call mr,Possible Suicidal Post
59,why naman kayo ganyan,why are you like that?,why like,Possible Suicidal Post
60,Nanghihina ako,I feel weak,feel weak,Non-Suicide
61,Parang gusto ko umiyak bigla HAHAHAHAHA,I feel like crying all of a sudden HAHAHAHAHA,feel like cry all sudden hahahahaha,Non-Suicide
62,Ang sakit ng ulo ko,My head hurts,head hurt,Non-Suicide
63,Something I wanted to feel??,Something I wanted to feel??,something want feel,Non-Suicide
64,Tutulog nalang ako maaga,I'll go to bed early,go bed early,Non-Suicide
65,ang sensitive,the sensitive,sensitive,Possible Suicidal Post
66,lahat na lang masamain ,everything is bad,everything bad,Possible Suicidal Post
67,okay guys alam ko na step toxic hahahaha,okay guys I know that step is toxic hahahaha,okay guy know step toxic hahahaha,Possible Suicidal Post
69,sana next week na,I hope it's next week,hope next week,Possible Suicidal Post
70,Wow di pa din deretso tulog ko,"Wow, I haven't slept straight yet",wow not sleep straight yet,Non-Suicide
71,Buti nalang masaya na talaga ako,Good thing I'm really happy,good thing really happy,Non-Suicide
72,May pilay ata kamay ko,My hand is lame,hand lame,Non-Suicide
73,Glow up,Glow up,glow up,Non-Suicide
74,PAIN,PAIN,pain,Non-Suicide
75,Hindi lahat ha !! yung mga toxic talaga !!,Not everyone!! those are really toxic!!,not everyone really toxic,Possible Suicidal Post
76,gusto ko na mawala to !!,I want to lose it!!,want lose,Possible Suicidal Post
77,wag mo sabihan ng ganun mama ko ! sampal ko pa sayo pera mo at tae ng anak mo,don't say that my mom! I'll slap you for your money and your child's shit,not say mom slap money child shit,Possible Suicidal Post
78,buti na lang may napagkwekwentuhan ako ng probems ko <3,"Fortunately, I was able to talk to someone about my problems <3",fortunately able talk someone problem,Possible Suicidal Post
79,"nag alarm ako para sana magaral , di mag selpon","I set the alarm so I could preach, not use my cell phone",set alarm preach not use cell phone,Possible Suicidal Post
80,Patulog na ako eh may bumangga sa tapat ng bahay,I was about to sleep when someone crashed in front of the house,sleep someone crash front house,Non-Suicide
81,Tangina bat parang kasalanan ko pa,At least it's still my fault,least still fault,Non-Suicide
82,Badtrip,Bad trip,bad trip,Non-Suicide
83,Ikot ako ng ikot nakuha ko na pala lahat,I went round and round and I got it all,go round round get all,Non-Suicide
84,Tamang antay nalang sa susunod na story,Just wait for the next story,wait next story,Non-Suicide
85,kakapikon,squinting,squint,Possible Suicidal Post
86,di ko alam bat naiinis ako sayo,I don't know if I'm annoyed with you,not know annoy,Possible Suicidal Post
87,grabe pa rin talaga impact ng small circle of friends,the impact of the small circle of friends is still really bad,impact small circle friend still really bad,Possible Suicidal Post
88,nakakaduda pa din,still doubtful,still doubtful,Possible Suicidal Post
89,dili na lang magtalk sa ugali nilam,don't just talk about their behavior,not talk behavior,Possible Suicidal Post
90,Bawasan ko pa kaya yung 600 friends ko?,Can I reduce my 600 friends?,reduce friend,Non-Suicide
91,"No, Im not crying, you are.","No, Im not crying, you are.",no im not cry,Non-Suicide
92,"Mahirap subukan, hindi malakas loob na subukan kausapin","It's hard to try, not brave enough to try to talk",hard try not brave enough try talk,Non-Suicide
93,"I am interested on you, but I dont know how to start a conversation.","I am interested on you, but I dont know how to start a conversation.",interested dont know how start conversation,Non-Suicide
94,Isasarili ko nalang,I'll keep it to myself,keep,Non-Suicide
95,beh ang bobo mo talaga literal,well you are literally stupid,well literally stupid,Possible Suicidal Post
96,sasabog na ata ulo ko,my head is going to explode,head go explode,Possible Suicidal Post
97,panay ka paawa sa fb,you are always welcome on fb,always welcome fb,Possible Suicidal Post
98,apply mo rin sana sa sarili mo,You should also apply it to yourself,also apply,Possible Suicidal Post
99,tinawanan lang ako ng parents ko nung sinabi kong benta ko na lupa ko,My parents just laughed at me when I said I was selling my land,parent laugh say sell land,Possible Suicidal Post
100,Bakit mas maganda kausap ang babae kapag may problema ka?,Why is it better to talk to women when you have a problem?,why good talk woman problem,Non-Suicide
101,Feelings successfully forgotten.,Feelings successfully forgotten.,feeling successfully forget,Non-Suicide
102,Sinabi ko lang nag mag aaral na talaga ako next school year nagtingin agad ng gaming laptop amp ,I just said that I'm really going to study next school year and immediately looked for a gaming laptop amp,say really go study next school year immediately look gaming laptop amp,Non-Suicide
103,Ngayon iniisip ko na kung bakit ako bumili ng kazoo,Now I wonder why I bought a kazoo,wonder why buy kazoo,Non-Suicide
104,Basta marinig na yung overtaken sa one piece goosebumps agad,Just hearing that overtaken in one piece immediately gives goosebumps,hearing overtake one piece immediately give goosebump,Non-Suicide
105,"pre period, post period, period period sadness <<<<","pre period, post period, period period sadness <<<<",pre period post period period period sadness,Possible Suicidal Post
106,pinaglaruan ni mareng taylor,mareng taylor exclaimed,mareng taylor exclaim,Possible Suicidal Post
107,nahawa na sa kaartehan ko sa buhay,I've been infected with my arrogance in life,infect arrogance life,Possible Suicidal Post
108,hindi naman tao si blossom pero lagi ko siyang kaaway,blossom is not human but she is always my enemy,blossom not human always enemy,Possible Suicidal Post
109,nakakadrain kayo,you are draining,drain,Possible Suicidal Post
110,pagod na ako beh,I'm tired,tire,Possible Suicidal Post
111,Not motivated to draw,Not motivated to draw,not motivate draw,Non-Suicide
112,Sure ako di pa din kuntento community sa rewards,I'm sure the community is still not satisfied with the rewards,sure community still not satisfy reward,Non-Suicide
113,Sabi na tama ako na glider ang gift eh,He said I was right that the gift was a glider,say right gift glider,Non-Suicide
114,Sobrang toxic na ng genshin community,The genshin community is so toxic,genshin community toxic,Non-Suicide
115,Pag naririnig ko yung opening 1 ng kobayashis dragon maid gusto ko umikot ikot din,"When I hear the opening 1 of Kobayashi's dragon maid, I want to turn around",hear opening kobayashi dragon maid want turn around,Non-Suicide
116,"naiinis, naiiyak, nababadtrip, naiirita, napipikon","annoyed, crying, tripping, irritated, cringing",annoy cry trip irritated cringing,Possible Suicidal Post
117,really need a hug,really need a hug,really need hug,Possible Suicidal Post
118,but what abt me,but what abt me,what abt,Possible Suicidal Post
