"text","label"
"Headache","non-suicide"
"Sumakit kamay ko kakalaro ng osu","non-suicide"
"Napaka aaga ata","non-suicide"
"Ganda masyado ni sato nozomi, maheart??","non-suicide"
"Taena di ako kuntento need more chapters ng beginning after the end","non-suicide"
"Gala na muna","possible suicidal post"
"Seeyousooon","possible suicidal post"
"Tagal ng bukas","possible suicidal post"
"Kung wala na edi wala na","possible suicidal post"
"Ahhyyss","possible suicidal post"
"Laging nag crash pag naka viper ako amp","non-suicide"
"Lucky day","non-suicide"
"Di ko maitutulog na napansin ako ni shizu sa stream niya","non-suicide"
"Palit profile hahahahaha","non-suicide"
"Napaka panget ng gacha rate ng priconne ngayon","non-suicide"
"Hindi dapat ganun","possible suicidal post"
"Hindi na talaga","possible suicidal post"
"Ayaaw na ngaaa!","possible suicidal post"
"Kakasawa","possible suicidal post"
"Okay na guys","possible suicidal post"
"Iyak ako sa mugen train","non-suicide"
"Ang tapang ng itsura amp HAHAHAHAHA","non-suicide"
"Hindi ako sanay sa buhok ko amp","non-suicide"
"Putaena di ako sanay sa normal na kulay ng buhok ko","non-suicide"
"Dreams inside dreams","non-suicide"
"Kaya pa ba?","possible suicidal post"
"Sakit na","possible suicidal post"
"Pag galit wag manakit","possible suicidal post"
"Wala ngang kasama","possible suicidal post"
"Bakit saakin pa","possible suicidal post"
"Walang maisip na idrawing","non-suicide"
"Mas maayos ata pagkakagawa ko ngayon kaysa sa mga dati kong gawa ah","non-suicide"
"Sana hindi magkasakit kakatawa","non-suicide"
"Ang sakit ng ulo ko","non-suicide"
"Nalss ako sa oden song amp","non-suicide"
"Im feeling lonely","possible suicidal post"
"Di na kaya alak to","possible suicidal post"
"Ganun na nga kasi","possible suicidal post"
"Kung pwede pa sana","possible suicidal post"
"Bilyar","possible suicidal post"
"A daikon ganmo, chikuwa ni tamago??","non-suicide"
"Wala to di ako makakatulog agad HAHAHAHAHA","non-suicide"
"Wala ako sa laro amp","non-suicide"
"MoMa. Movie mag-isa","non-suicide"
"4 na movie pa ng one piece","non-suicide"
"Na hack pa fb ko badtrip","possible suicidal post"
"Lonely right now","possible suicidal post"
"Bakit ako pa nasaktan","possible suicidal post"
"Hard to accept the reality","possible suicidal post"
"I miss you","possible suicidal post"
"Wow di pa din deretso tulog ko","non-suicide"
"Hahahaha deja vu","non-suicide"
"Iniisip ko pa din kung magkakape ako o hindi","non-suicide"
"Di ako makapagdecide sa gagawin ko amp","non-suicide"
"Gusto kong sumaya","non-suicide"
"ilang quiz ng mali mali sagot ","possible suicidal post"
"nawawal na ako sa sarili ko","possible suicidal post"
"Topic na topic name ko sa mga gc HAHAHHAHAHA","possible suicidal post"
"late nyo na nga ing process papers namin tapos tatawagin nyo pa akong Mr. ??? ","possible suicidal post"
"why naman kayo ganyan","possible suicidal post"
"Nanghihina ako","non-suicide"
"Parang gusto ko umiyak bigla HAHAHAHAHA","non-suicide"
"Ang sakit ng ulo ko","non-suicide"
"Something I wanted to feel??","non-suicide"
"Tutulog nalang ako maaga","non-suicide"
"ang sensitive","possible suicidal post"
"lahat na lang masamain ","possible suicidal post"
"okay guys alam ko na step toxic hahahaha","possible suicidal post"
"now lang ito","possible suicidal post"
"sana next week na","possible suicidal post"
"Wow di pa din deretso tulog ko","non-suicide"
"Buti nalang masaya na talaga ako","non-suicide"
"May pilay ata kamay ko","non-suicide"
"Glow up","non-suicide"
"PAIN","non-suicide"
"Hindi lahat ha !! yung mga toxic talaga !!","possible suicidal post"
"gusto ko na mawala to !!","possible suicidal post"
"wag mo sabihan ng ganun mama ko ! sampal ko pa sayo pera mo at tae ng anak mo","possible suicidal post"
"buti na lang may napagkwekwentuhan ako ng probems ko <3","possible suicidal post"
