,text,label,Translated Text
0,Headache,non-suicide,Headache
1,Sumakit kamay ko kakalaro ng osu,non-suicide,I hurt my hand playing osu
2,Napaka aaga ata,non-suicide,It's very early
3,"Ganda masyado ni sato nozomi, maheart??",non-suicide,"Sato Nozomi is so beautiful, maheart??"
4,Taena di ako kuntento need more chapters ng beginning after the end,non-suicide,"Taena, I'm not satisfied, I need more chapters of the beginning after the end"
5,Gala na muna,possible suicidal post,Our gala
6,Seeyousooon,possible suicidal post,Seeyousoon
7,Tagal ng bukas,possible suicidal post,Duration of tomorrow
8,Kung wala na edi wala na,possible suicidal post,"If it's gone, it's gone"
9,Ahhyyss,possible suicidal post,Ahhyyss
10,Laging nag crash pag naka viper ako amp,non-suicide,It always crashes when I turn on viper amp
11,Lucky day,non-suicide,Lucky day
12,Di ko maitutulog na napansin ako ni shizu sa stream niya,non-suicide,I can't sleep that shizu noticed me on her stream
13,Palit profile hahahahaha,non-suicide,Change profile hahahaha
14,Napaka panget ng gacha rate ng priconne ngayon,non-suicide,Priconne's gacha rate is so ugly right now
15,Hindi dapat ganun,possible suicidal post,It shouldn't be like that
16,Hindi na talaga,possible suicidal post,Not really anymore
17,Ayaaw na ngaaa!,possible suicidal post,I'm sorry!
18,Kakasawa,possible suicidal post,Bored
19,Okay na guys,possible suicidal post,It's okay guys
20,Iyak ako sa mugen train,non-suicide,I cried on the mugen train
21,Ang tapang ng itsura amp HAHAHAHAHA,non-suicide,The courage of the appearance amp HAHAHAHAHA
22,Hindi ako sanay sa buhok ko amp,non-suicide,I'm not used to my hair amp
23,Putaena di ako sanay sa normal na kulay ng buhok ko,non-suicide,"Putaena, I'm not used to my normal hair color"
24,Dreams inside dreams,non-suicide,Dreams inside dreams
25,Kaya pa ba?,possible suicidal post,Is it still possible?
26,Sakit na,possible suicidal post,It hurts
27,Pag galit wag manakit,possible suicidal post,"When angry, don't hurt"
28,Wala ngang kasama,possible suicidal post,There is no companion
29,Bakit saakin pa,possible suicidal post,Why is it up to me?
30,Walang maisip na idrawing,non-suicide,Can't think of anything to draw
31,Mas maayos ata pagkakagawa ko ngayon kaysa sa mga dati kong gawa ah,non-suicide,My work is better now than what I used to do
32,Sana hindi magkasakit kakatawa,non-suicide,I hope you don't get sick laughing
33,Ang sakit ng ulo ko,non-suicide,My head hurts
34,Nalss ako sa oden song amp,non-suicide,I love oden song amp
35,Im feeling lonely,possible suicidal post,Im feeling lonely
36,Di na kaya alak to,possible suicidal post,I can't drink anymore
37,Ganun na nga kasi,possible suicidal post,That's how it is
38,Kung pwede pa sana,possible suicidal post,If only it were possible
39,Bilyar,possible suicidal post,Billiards
40,"A daikon ganmo, chikuwa ni tamago??",non-suicide,"A big fish, a chicken and a egg?"
41,Wala to di ako makakatulog agad HAHAHAHAHA,non-suicide,"Nothing, I can't sleep right away HAHAHAHAHA"
42,Wala ako sa laro amp,non-suicide,I'm not in the game amp
43,MoMa. Movie mag-isa,non-suicide,Mom. Movie alone
44,4 na movie pa ng one piece,non-suicide,4 more movies of one piece
45,Na hack pa fb ko badtrip,possible suicidal post,Badtrip even hacked my fb
46,Lonely right now,possible suicidal post,Lonely right now
47,Bakit ako pa nasaktan,possible suicidal post,Why am I still hurt?
48,Hard to accept the reality,possible suicidal post,Hard to accept the reality
49,I miss you,possible suicidal post,I miss you
50,Wow di pa din deretso tulog ko,non-suicide,"Wow, I haven't slept straight yet"
51,Hahahaha deja vu,non-suicide,Hahahaha already seen
52,Iniisip ko pa din kung magkakape ako o hindi,non-suicide,I'm still thinking about whether I should have coffee or not
53,Di ako makapagdecide sa gagawin ko amp,non-suicide,I can't decide what to do amp
54,Gusto kong sumaya,non-suicide,I want to have fun
55,ilang quiz ng mali mali sagot ,possible suicidal post,some quiz with wrong wrong answer
56,nawawal na ako sa sarili ko,possible suicidal post,I lost myself
57,Topic na topic name ko sa mga gc HAHAHHAHAHA,possible suicidal post,My topic topic name in gc HAHAHHAHAHA
58,late nyo na nga ing process papers namin tapos tatawagin nyo pa akong Mr. ??? ,possible suicidal post,Our process papers are already late and you will call me Mr. ???
59,why naman kayo ganyan,possible suicidal post,why are you like that?
60,Nanghihina ako,non-suicide,I feel weak
61,Parang gusto ko umiyak bigla HAHAHAHAHA,non-suicide,I feel like crying all of a sudden HAHAHAHAHA
62,Ang sakit ng ulo ko,non-suicide,My head hurts
63,Something I wanted to feel??,non-suicide,Something I wanted to feel??
64,Tutulog nalang ako maaga,non-suicide,I'll go to bed early
65,ang sensitive,possible suicidal post,the sensitive
